year,country,suicides_no
1985,Antigua and Barbuda,0
1985,Argentina,1988
1985,Australia,1861
1985,Austria,2091
1985,Bahamas,1
1985,Bahrain,11
1985,Barbados,7
1985,Belgium,2281
1985,Brazil,4228
1985,Bulgaria,1456
1985,Canada,3258
1985,Chile,683
1985,Colombia,1001
1985,Costa Rica,128
1985,Dominica,0
1985,Ecuador,393
1985,France,12501
1985,Greece,405
1985,Grenada,1
1985,Iceland,32
1985,Ireland,276
1985,Israel,234
1985,Italy,4759
1985,Jamaica,8
1985,Japan,23257
1985,Kuwait,17
1985,Luxembourg,55
1985,Malta,2
1985,Mauritius,104
1985,Mexico,1544
1985,Netherlands,1638
1985,New Zealand,338
1985,Panama,56
1985,Paraguay,63
1985,Portugal,983
1985,Puerto Rico,269
1985,Republic of Korea,3689
1985,Saint Vincent and Grenadines,2
1985,Seychelles,8
1985,Singapore,324
1985,Spain,2514
1985,Sri Lanka,5668
1985,Suriname,80
1985,Thailand,2982
1985,Trinidad and Tobago,29
1985,United Kingdom,5105
1985,United States,29446
1985,Uruguay,287
1986,Antigua and Barbuda,0
1986,Argentina,2284
1986,Australia,2044
1986,Austria,2139
1986,Barbados,8
1986,Belgium,2202
1986,Belize,3
1986,Brazil,4271
1986,Bulgaria,1408
1986,Canada,3670
1986,Chile,654
1986,Colombia,958
1986,Costa Rica,131
1986,Ecuador,377
1986,France,12529
1986,Greece,393
1986,Guatemala,203
1986,Iceland,37
1986,Ireland,282
1986,Israel,278
1986,Italy,4691
1986,Jamaica,1
1986,Japan,25484
1986,Kuwait,16
1986,Luxembourg,51
1986,Malta,1
1986,Mauritius,28
1986,Mexico,1714
1986,Netherlands,1604
1986,New Zealand,414
1986,Norway,579
1986,Panama,82
1986,Paraguay,56
1986,Portugal,941
1986,Puerto Rico,310
1986,Republic of Korea,3458
1986,Saint Lucia,5
1986,Saint Vincent and Grenadines,0
1986,Seychelles,1
1986,Singapore,326
1986,Spain,2755
1986,Sri Lanka,5345
1986,Suriname,42
1986,Thailand,2798
1986,Trinidad and Tobago,104
1986,United Kingdom,4839
1986,United States,30892
1986,Uruguay,262
1987,Albania,73
1987,Antigua and Barbuda,0
1987,Argentina,2286
1987,Australia,2164
1987,Austria,2069
1987,Bahamas,3
1987,Bahrain,9
1987,Barbados,6
1987,Belgium,2238
1987,Belize,4
1987,Brazil,4672
1987,Bulgaria,1492
1987,Canada,3591
1987,Chile,693
1987,Colombia,951
1987,Costa Rica,119
1987,Ecuador,390
1987,Finland,1363
1987,France,12161
1987,Greece,410
1987,Guatemala,241
1987,Iceland,36
1987,Ireland,245
1987,Israel,271
1987,Italy,4516
1987,Jamaica,13
1987,Japan,23663
1987,Kuwait,16
1987,Luxembourg,74
1987,Malta,1
1987,Mauritius,140
1987,Mexico,1701
1987,Netherlands,1616
1987,New Zealand,463
1987,Norway,649
1987,Panama,85
1987,Paraguay,62
1987,Portugal,960
1987,Puerto Rico,272
1987,Republic of Korea,3301
1987,Saint Lucia,11
1987,Saint Vincent and Grenadines,0
1987,Seychelles,3
1987,Singapore,301
1987,Spain,2804
1987,Suriname,52
1987,Sweden,1541
1987,Thailand,3035
1987,Trinidad and Tobago,119
1987,Turkmenistan,272
1987,Ukraine,10050
1987,United Kingdom,4594
1987,United States,30783
1987,Uruguay,258
1988,Albania,63
1988,Antigua and Barbuda,0
1988,Argentina,2354
1988,Australia,2172
1988,Austria,1851
1988,Bahrain,14
1988,Barbados,12
1988,Belgium,1996
1988,Brazil,4466
1988,Bulgaria,1452
1988,Canada,3510
1988,Chile,697
1988,Colombia,912
1988,Costa Rica,138
1988,Ecuador,466
1988,Finland,1402
1988,France,11599
1988,Greece,403
1988,Grenada,4
1988,Guatemala,174
1988,Guyana,56
1988,Iceland,35
1988,Ireland,266
1988,Israel,303
1988,Italy,4381
1988,Jamaica,5
1988,Japan,22676
1988,Luxembourg,69
1988,Malta,9
1988,Mauritius,167
1988,Mexico,1703
1988,Netherlands,1523
1988,New Zealand,484
1988,Norway,708
1988,Panama,87
1988,Portugal,819
1988,Puerto Rico,314
1988,Republic of Korea,2949
1988,Saint Lucia,10
1988,Singapore,366
1988,Spain,2960
1988,Suriname,49
1988,Sweden,1590
1988,Trinidad and Tobago,164
1988,Turkmenistan,270
1988,Ukraine,9751
1988,United Kingdom,4971
1988,United States,30388
1988,Uruguay,268
1989,Albania,68
1989,Antigua and Barbuda,0
1989,Argentina,2247
1989,Australia,2066
1989,Austria,1898
1989,Barbados,16
1989,Belgium,1920
1989,Belize,1
1989,Brazil,4463
1989,Bulgaria,1460
1989,Canada,3491
1989,Chile,725
1989,Colombia,831
1989,Costa Rica,167
1989,Ecuador,431
1989,Finland,1413
1989,France,11715
1989,Greece,383
1989,Grenada,4
1989,Guatemala,152
1989,Guyana,94
1989,Iceland,22
1989,Ireland,278
1989,Israel,353
1989,Italy,4342
1989,Jamaica,0
1989,Japan,21013
1989,Luxembourg,73
1989,Malta,23
1989,Mauritius,144
1989,Mexico,1865
1989,Netherlands,1520
1989,New Zealand,465
1989,Norway,660
1989,Panama,70
1989,Paraguay,67
1989,Portugal,747
1989,Puerto Rico,327
1989,Republic of Korea,3023
1989,Romania,2529
1989,Russian Federation,37921
1989,Saint Lucia,8
1989,Singapore,394
1989,Spain,2987
1989,Suriname,53
1989,Sweden,1579
1989,Trinidad and Tobago,173
1989,Turkmenistan,253
1989,Ukraine,10887
1989,United Kingdom,4361
1989,United States,30218
1989,Uruguay,344
1990,Antigua and Barbuda,1
1990,Argentina,2140
1990,Armenia,93
1990,Australia,2202
1990,Austria,1825
1990,Azerbaijan,114
1990,Barbados,16
1990,Belarus,2085
1990,Belgium,1895
1990,Belize,3
1990,Brazil,4803
1990,Bulgaria,1323
1990,Canada,3378
1990,Chile,743
1990,Colombia,865
1990,Costa Rica,157
1990,Czech Republic,1997
1990,Ecuador,448
1990,El Salvador,571
1990,Finland,1512
1990,France,11403
1990,Georgia,196
1990,Germany,13924
1990,Greece,349
1990,Grenada,2
1990,Guatemala,158
1990,Guyana,89
1990,Iceland,40
1990,Ireland,334
1990,Israel,304
1990,Italy,4402
1990,Jamaica,3
1990,Japan,20002
1990,Kazakhstan,3172
1990,Kyrgyzstan,547
1990,Luxembourg,68
1990,Malta,8
1990,Mauritius,147
1990,Mexico,1926
1990,Netherlands,1450
1990,New Zealand,455
1990,Norway,659
1990,Paraguay,99
1990,Poland,4970
1990,Portugal,870
1990,Puerto Rico,371
1990,Republic of Korea,3159
1990,Romania,2079
1990,Russian Federation,39028
1990,Saint Kitts and Nevis,0
1990,Saint Lucia,3
1990,Saint Vincent and Grenadines,5
1990,Singapore,354
1990,Spain,2939
1990,Suriname,26
1990,Sweden,1471
1990,Thailand,3753
1990,Trinidad and Tobago,170
1990,Turkmenistan,298
1990,Ukraine,10645
1990,United Kingdom,4643
1990,United States,30895
1990,Uruguay,315
1990,Uzbekistan,1459
1991,Antigua and Barbuda,0
1991,Argentina,1951
1991,Armenia,80
1991,Australia,2288
1991,Austria,1769
1991,Azerbaijan,134
1991,Barbados,17
1991,Belarus,2169
1991,Belgium,1805
1991,Belize,2
1991,Brazil,5156
1991,Bulgaria,1384
1991,Canada,3593
1991,Chile,787
1991,Colombia,1010
1991,Costa Rica,125
1991,Czech Republic,1904
1991,Ecuador,494
1991,El Salvador,474
1991,Finland,1493
1991,France,11502
1991,Georgia,174
1991,Germany,14010
1991,Greece,381
1991,Grenada,0
1991,Guatemala,156
1991,Guyana,105
1991,Hungary,3993
1991,Iceland,37
1991,Ireland,345
1991,Israel,359
1991,Italy,4453
1991,Jamaica,1
1991,Japan,19780
1991,Kazakhstan,3082
1991,Kiribati,10
1991,Kyrgyzstan,543
1991,Luxembourg,77
1991,Malta,10
1991,Mauritius,137
1991,Mexico,2103
1991,Netherlands,1611
1991,New Zealand,474
1991,Norway,675
1991,Paraguay,75
1991,Poland,5316
1991,Portugal,942
1991,Puerto Rico,355
1991,Republic of Korea,3069
1991,Romania,2161
1991,Russian Federation,39281
1991,Saint Kitts and Nevis,0
1991,Saint Lucia,6
1991,Singapore,296
1991,Spain,2916
1991,Suriname,57
1991,Sweden,1483
1991,Thailand,3559
1991,Trinidad and Tobago,148
1991,Turkmenistan,273
1991,Ukraine,10700
1991,United Kingdom,4547
1991,United States,30790
1991,Uzbekistan,1393
1992,Albania,47
1992,Antigua and Barbuda,0
1992,Argentina,2184
1992,Armenia,83
1992,Australia,2251
1992,Austria,1759
1992,Azerbaijan,144
1992,Barbados,14
1992,Belarus,2424
1992,Belgium,1878
1992,Brazil,5207
1992,Bulgaria,1519
1992,Canada,3708
1992,Chile,658
1992,Colombia,1086
1992,Costa Rica,149
1992,Cuba,2299
1992,Czech Republic,1991
1992,Ecuador,505
1992,El Salvador,419
1992,Finland,1451
1992,France,11644
1992,Georgia,204
1992,Germany,13458
1992,Greece,351
1992,Grenada,0
1992,Guatemala,173
1992,Guyana,78
1992,Hungary,4000
1992,Iceland,28
1992,Ireland,362
1992,Israel,381
1992,Italy,4543
1992,Japan,20756
1992,Kazakhstan,3356
1992,Kiribati,4
1992,Kyrgyzstan,491
1992,Luxembourg,59
1992,Malta,18
1992,Mauritius,146
1992,Mexico,2237
1992,Netherlands,1587
1992,New Zealand,493
1992,Norway,616
1992,Philippines,347
1992,Poland,5713
1992,Portugal,866
1992,Puerto Rico,314
1992,Republic of Korea,3533
1992,Romania,2650
1992,Russian Federation,45923
1992,Saint Kitts and Nevis,0
1992,Saint Lucia,11
1992,Singapore,277
1992,Slovakia,796
1992,Spain,2786
1992,Suriname,48
1992,Sweden,1355
1992,Thailand,3550
1992,Trinidad and Tobago,163
1992,Turkmenistan,271
1992,Ukraine,11666
1992,United Kingdom,4628
1992,United States,30471
1992,Uzbekistan,1344
1993,Albania,73
1993,Antigua and Barbuda,1
1993,Argentina,2230
1993,Armenia,106
1993,Australia,2038
1993,Austria,1704
1993,Azerbaijan,119
1993,Bahamas,7
1993,Barbados,16
1993,Belarus,2885
1993,Belgium,2142
1993,Belize,1
1993,Brazil,5508
1993,Bulgaria,1470
1993,Canada,3803
1993,Chile,740
1993,Colombia,1085
1993,Costa Rica,164
1993,Cuba,2374
1993,Czech Republic,1917
1993,Ecuador,574
1993,El Salvador,424
1993,Finland,1397
1993,France,12251
1993,Germany,12690
1993,Greece,412
1993,Grenada,3
1993,Guatemala,165
1993,Guyana,72
1993,Hungary,3694
1993,Iceland,26
1993,Ireland,326
1993,Israel,371
1993,Italy,4697
1993,Japan,20353
1993,Kazakhstan,4019
1993,Kiribati,12
1993,Kuwait,18
1993,Kyrgyzstan,563
1993,Luxembourg,64
1993,Malta,16
1993,Mauritius,138
1993,Mexico,2342
1993,Netherlands,1555
1993,New Zealand,443
1993,Norway,590
1993,Philippines,846
1993,Poland,5624
1993,Portugal,780
1993,Puerto Rico,345
1993,Republic of Korea,4124
1993,Romania,2774
1993,Russian Federation,55846
1993,Saint Lucia,8
1993,Singapore,270
1993,Slovakia,738
1993,Spain,3037
1993,Sweden,1373
1993,Trinidad and Tobago,174
1993,Turkmenistan,240
1993,Ukraine,12469
1993,United Kingdom,4462
1993,United States,31084
1993,Uruguay,418
1993,Uzbekistan,1355
1994,Albania,50
1994,Antigua and Barbuda,0
1994,Argentina,2241
1994,Armenia,112
1994,Australia,2283
1994,Austria,1776
1994,Azerbaijan,47
1994,Bahamas,3
1994,Barbados,14
1994,Belarus,3153
1994,Belgium,2131
1994,Belize,8
1994,Brazil,5896
1994,Bulgaria,1464
1994,Canada,3748
1994,Chile,801
1994,Colombia,1198
1994,Costa Rica,162
1994,Cuba,2278
1994,Czech Republic,1872
1994,Denmark,999
1994,Ecuador,512
1994,Finland,1387
1994,France,12041
1994,Georgia,123
1994,Germany,12718
1994,Greece,355
1994,Grenada,4
1994,Guatemala,142
1994,Guyana,86
1994,Hungary,3625
1994,Iceland,25
1994,Ireland,394
1994,Israel,416
1994,Italy,4536
1994,Japan,20744
1994,Kazakhstan,4024
1994,Kiribati,10
1994,Kuwait,30
1994,Kyrgyzstan,581
1994,Luxembourg,74
1994,Macau,27
1994,Malta,15
1994,Mauritius,129
1994,Mexico,2588
1994,Netherlands,1584
1994,New Zealand,512
1994,Norway,531
1994,Paraguay,108
1994,Poland,5519
1994,Portugal,762
1994,Puerto Rico,355
1994,Republic of Korea,4212
1994,Romania,2887
1994,Russian Federation,61420
1994,Saint Lucia,6
1994,Singapore,316
1994,Slovakia,691
1994,Spain,3171
1994,Sweden,1324
1994,Thailand,2307
1994,Trinidad and Tobago,148
1994,Turkmenistan,234
1994,Ukraine,13826
1994,United Kingdom,4380
1994,United States,31123
1994,Uruguay,406
1994,Uzbekistan,1419
1995,Albania,88
1995,Antigua and Barbuda,0
1995,Argentina,2204
1995,Armenia,130
1995,Aruba,8
1995,Australia,2170
1995,Austria,1788
1995,Azerbaijan,49
1995,Bahamas,2
1995,Barbados,17
1995,Belarus,3203
1995,Belgium,2155
1995,Belize,14
1995,Brazil,6536
1995,Bulgaria,1433
1995,Canada,3968
1995,Chile,930
1995,Colombia,1150
1995,Costa Rica,209
1995,Croatia,929
1995,Cuba,2222
1995,Czech Republic,1733
1995,Denmark,924
1995,Ecuador,546
1995,El Salvador,620
1995,Estonia,594
1995,Finland,1388
1995,France,11819
1995,Georgia,138
1995,Germany,12888
1995,Greece,370
1995,Grenada,1
1995,Guatemala,211
1995,Guyana,99
1995,Hungary,3366
1995,Iceland,27
1995,Ireland,403
1995,Israel,360
1995,Italy,4569
1995,Japan,21249
1995,Kazakhstan,4706
1995,Kiribati,2
1995,Kuwait,26
1995,Kyrgyzstan,605
1995,Latvia,1024
1995,Lithuania,1694
1995,Luxembourg,63
1995,Malta,17
1995,Mauritius,147
1995,Mexico,2877
1995,Netherlands,1511
1995,New Zealand,545
1995,Norway,548
1995,Paraguay,118
1995,Poland,5499
1995,Portugal,809
1995,Puerto Rico,289
1995,Qatar,0
1995,Republic of Korea,4841
1995,Romania,2793
1995,Russian Federation,60548
1995,Saint Lucia,10
1995,Saint Vincent and Grenadines,7
1995,Singapore,364
1995,Slovakia,735
1995,Slovenia,564
1995,Spain,3157
1995,Suriname,55
1995,Sweden,1348
1995,Switzerland,1419
1995,Thailand,4245
1995,Trinidad and Tobago,184
1995,Turkmenistan,244
1995,Ukraine,14541
1995,United Kingdom,4315
1995,United States,31272
1995,Uruguay,427
1995,Uzbekistan,1485
1996,Albania,89
1996,Argentina,2229
1996,Armenia,87
1996,Australia,2426
1996,Austria,1779
1996,Azerbaijan,69
1996,Bahamas,3
1996,Belarus,3627
1996,Belgium,2013
1996,Belize,8
1996,Brazil,6698
1996,Bulgaria,1526
1996,Canada,3941
1996,Chile,917
1996,Colombia,1209
1996,Costa Rica,209
1996,Croatia,1001
1996,Cuba,2014
1996,Czech Republic,1568
1996,Denmark,892
1996,Ecuador,593
1996,El Salvador,540
1996,Estonia,545
1996,Finland,1247
1996,France,11279
1996,Georgia,162
1996,Germany,12225
1996,Greece,356
1996,Grenada,1
1996,Guatemala,157
1996,Guyana,60
1996,Hungary,3436
1996,Iceland,33
1996,Ireland,408
1996,Israel,306
1996,Italy,4689
1996,Japan,21967
1996,Kazakhstan,4773
1996,Kiribati,6
1996,Kuwait,30
1996,Kyrgyzstan,480
1996,Latvia,922
1996,Lithuania,1722
1996,Luxembourg,72
1996,Malta,10
1996,Mauritius,153
1996,Mexico,3008
1996,Netherlands,1577
1996,New Zealand,540
1996,Norway,517
1996,Panama,113
1996,Paraguay,99
1996,Poland,5446
1996,Portugal,653
1996,Puerto Rico,331
1996,Republic of Korea,5857
1996,Romania,2828
1996,Russian Federation,57511
1996,Saint Lucia,7
1996,Saint Vincent and Grenadines,8
1996,Singapore,239
1996,Slovakia,672
1996,Slovenia,607
1996,South Africa,143
1996,Spain,3320
1996,Sri Lanka,4898
1996,Suriname,21
1996,Sweden,1253
1996,Switzerland,1432
1996,Thailand,4443
1996,Trinidad and Tobago,146
1996,Turkmenistan,283
1996,Ukraine,15160
1996,United Kingdom,4165
1996,United States,30879
1996,Uruguay,393
1996,Uzbekistan,1699
1997,Albania,170
1997,Argentina,2184
1997,Armenia,77
1997,Australia,2646
1997,Austria,1592
1997,Azerbaijan,107
1997,Bahamas,2
1997,Bahrain,0
1997,Belarus,3526
1997,Belgium,2146
1997,Belize,1
1997,Brazil,6891
1997,Bulgaria,1465
1997,Canada,3681
1997,Chile,910
1997,Colombia,1242
1997,Costa Rica,187
1997,Croatia,946
1997,Cuba,2029
1997,Czech Republic,1666
1997,Denmark,817
1997,Ecuador,579
1997,El Salvador,577
1997,Estonia,522
1997,Finland,1322
1997,France,11139
1997,Georgia,176
1997,Germany,12256
1997,Greece,374
1997,Guatemala,179
1997,Guyana,40
1997,Hungary,3208
1997,Iceland,33
1997,Ireland,466
1997,Israel,379
1997,Italy,4694
1997,Japan,23280
1997,Kazakhstan,4642
1997,Kiribati,5
1997,Kuwait,33
1997,Kyrgyzstan,496
1997,Latvia,886
1997,Lithuania,1632
1997,Luxembourg,81
1997,Malta,15
1997,Mauritius,122
1997,Mexico,3350
1997,Netherlands,1572
1997,New Zealand,562
1997,Norway,533
1997,Panama,145
1997,Paraguay,126
1997,Philippines,814
1997,Portugal,628
1997,Puerto Rico,273
1997,Republic of Korea,6024
1997,Romania,2859
1997,Russian Federation,54746
1997,Saint Lucia,9
1997,Saint Vincent and Grenadines,3
1997,Singapore,303
1997,Slovakia,630
1997,Slovenia,593
1997,South Africa,104
1997,Spain,3373
1997,Sri Lanka,5887
1997,Suriname,32
1997,Sweden,1201
1997,Switzerland,1341
1997,Thailand,4150
1997,Trinidad and Tobago,160
1997,Turkmenistan,333
1997,Ukraine,14903
1997,United Kingdom,4143
1997,United States,30517
1997,Uruguay,456
1997,Uzbekistan,1554
1998,Albania,154
1998,Antigua and Barbuda,0
1998,Argentina,2347
1998,Armenia,66
1998,Australia,2632
1998,Austria,1559
1998,Azerbaijan,56
1998,Bahamas,3
1998,Bahrain,0
1998,Belarus,3556
1998,Belgium,2019
1998,Belize,12
1998,Brazil,6922
1998,Bulgaria,1503
1998,Canada,3699
1998,Chile,1031
1998,Colombia,2052
1998,Costa Rica,223
1998,Croatia,1029
1998,Cuba,2056
1998,Czech Republic,1613
1998,Denmark,763
1998,Ecuador,546
1998,El Salvador,512
1998,Estonia,477
1998,Finland,1228
1998,France,10534
1998,Georgia,148
1998,Germany,11654
1998,Greece,403
1998,Guatemala,201
1998,Guyana,35
1998,Hungary,3245
1998,Iceland,30
1998,Ireland,498
1998,Israel,318
1998,Italy,4504
1998,Japan,31458
1998,Kazakhstan,4313
1998,Kiribati,4
1998,Kuwait,35
1998,Kyrgyzstan,509
1998,Latvia,839
1998,Lithuania,1553
1998,Luxembourg,64
1998,Malta,12
1998,Mauritius,155
1998,Mexico,3312
1998,Netherlands,1519
1998,New Zealand,574
1998,Norway,548
1998,Panama,148
1998,Paraguay,138
1998,Philippines,883
1998,Portugal,556
1998,Puerto Rico,321
1998,Republic of Korea,8569
1998,Romania,2838
1998,Russian Federation,51518
1998,Saint Lucia,8
1998,Saint Vincent and Grenadines,10
1998,Serbia,1460
1998,Singapore,328
1998,Slovakia,673
1998,Slovenia,612
1998,South Africa,180
1998,Spain,3261
1998,Sri Lanka,5518
1998,Suriname,29
1998,Sweden,1231
1998,Switzerland,1371
1998,Thailand,4963
1998,Trinidad and Tobago,171
1998,Turkmenistan,405
1998,Ukraine,14789
1998,United Kingdom,4389
1998,United States,30558
1998,Uruguay,521
1998,Uzbekistan,1620
1999,Albania,139
1999,Antigua and Barbuda,0
1999,Argentina,2423
1999,Armenia,67
1999,Aruba,9
1999,Australia,2488
1999,Austria,1555
1999,Azerbaijan,54
1999,Bahamas,6
1999,Bahrain,17
1999,Belarus,3397
1999,Belgium,1857
1999,Belize,18
1999,Brazil,6507
1999,Bulgaria,1307
1999,Canada,4074
1999,Chile,1041
1999,Colombia,2143
1999,Costa Rica,233
1999,Croatia,989
1999,Cuba,2050
1999,Cyprus,1
1999,Czech Republic,1610
1999,Denmark,762
1999,Ecuador,616
1999,El Salvador,515
1999,Estonia,468
1999,Finland,1207
1999,France,10268
1999,Georgia,189
1999,Germany,11160
1999,Greece,381
1999,Guatemala,234
1999,Guyana,163
1999,Hungary,3326
1999,Iceland,31
1999,Ireland,424
1999,Israel,368
1999,Italy,4115
1999,Japan,31115
1999,Kazakhstan,3991
1999,Kiribati,0
1999,Kuwait,46
1999,Kyrgyzstan,556
1999,Latvia,763
1999,Lithuania,1550
1999,Luxembourg,70
1999,Malta,27
1999,Mauritius,174
1999,Mexico,3327
1999,Netherlands,1519
1999,New Zealand,516
1999,Norway,583
1999,Panama,143
1999,Paraguay,161
1999,Philippines,1043
1999,Poland,5779
1999,Portugal,545
1999,Puerto Rico,289
1999,Republic of Korea,7075
1999,Romania,2736
1999,Russian Federation,56974
1999,Saint Lucia,8
1999,Saint Vincent and Grenadines,6
1999,San Marino,2
1999,Serbia,1571
1999,Singapore,277
1999,Slovakia,692
1999,Slovenia,590
1999,South Africa,279
1999,Spain,3220
1999,Sri Lanka,5619
1999,Suriname,49
1999,Sweden,1220
1999,Switzerland,1296
1999,Thailand,5276
1999,Trinidad and Tobago,139
1999,Turkmenistan,442
1999,Ukraine,14363
1999,United Kingdom,4448
1999,United States,29183
1999,Uruguay,450
1999,Uzbekistan,1795
2000,Albania,54
2000,Antigua and Barbuda,2
2000,Argentina,2774
2000,Armenia,61
2000,Aruba,10
2000,Australia,2391
2000,Austria,1588
2000,Azerbaijan,62
2000,Bahamas,11
2000,Bahrain,29
2000,Barbados,10
2000,Belarus,3483
2000,Belgium,2143
2000,Belize,18
2000,Brazil,6763
2000,Bulgaria,1383
2000,Canada,3606
2000,Chile,1473
2000,Colombia,2358
2000,Costa Rica,239
2000,Croatia,926
2000,Cuba,1845
2000,Cyprus,7
2000,Czech Republic,1649
2000,Denmark,728
2000,Ecuador,534
2000,El Salvador,461
2000,Estonia,377
2000,Finland,1165
2000,France,10849
2000,Georgia,130
2000,Germany,11073
2000,Greece,382
2000,Guatemala,182
2000,Hungary,3269
2000,Iceland,50
2000,Ireland,463
2000,Israel,394
2000,Italy,4108
2000,Jamaica,3
2000,Japan,29989
2000,Kazakhstan,4428
2000,Kiribati,0
2000,Kuwait,34
2000,Kyrgyzstan,510
2000,Latvia,770
2000,Lithuania,1631
2000,Luxembourg,62
2000,Maldives,0
2000,Malta,23
2000,Mauritius,137
2000,Mexico,3456
2000,Montenegro,0
2000,Netherlands,1501
2000,New Zealand,458
2000,Norway,541
2000,Panama,143
2000,Paraguay,154
2000,Philippines,1403
2000,Poland,5841
2000,Portugal,524
2000,Puerto Rico,305
2000,Republic of Korea,6444
2000,Romania,2836
2000,Russian Federation,56619
2000,Saint Lucia,14
2000,Saint Vincent and Grenadines,5
2000,San Marino,1
2000,Serbia,1543
2000,Singapore,309
2000,Slovakia,729
2000,Slovenia,588
2000,South Africa,267
2000,Spain,3394
2000,Sri Lanka,5252
2000,Suriname,52
2000,Sweden,1131
2000,Switzerland,1380
2000,Thailand,5182
2000,Trinidad and Tobago,166
2000,Turkmenistan,383
2000,Ukraine,14467
2000,United Kingdom,4290
2000,United States,29343
2000,Uruguay,555
2000,Uzbekistan,1919
2001,Albania,119
2001,Antigua and Barbuda,2
2001,Argentina,3132
2001,Armenia,60
2001,Aruba,4
2001,Australia,2458
2001,Austria,1489
2001,Azerbaijan,317
2001,Bahamas,1
2001,Bahrain,23
2001,Barbados,2
2001,Belarus,3303
2001,Belgium,2165
2001,Belize,19
2001,Brazil,7710
2001,Bulgaria,1314
2001,Canada,3694
2001,Chile,1625
2001,Colombia,2412
2001,Costa Rica,198
2001,Croatia,881
2001,Cuba,1652
2001,Czech Republic,1623
2001,Denmark,727
2001,Ecuador,584
2001,El Salvador,514
2001,Estonia,401
2001,Fiji,36
2001,Finland,1204
2001,France,10449
2001,Georgia,100
2001,Germany,11167
2001,Greece,334
2001,Grenada,0
2001,Guatemala,202
2001,Guyana,197
2001,Hungary,2978
2001,Iceland,36
2001,Ireland,488
2001,Israel,398
2001,Italy,4030
2001,Jamaica,5
2001,Japan,29132
2001,Kazakhstan,4377
2001,Kiribati,0
2001,Kuwait,30
2001,Kyrgyzstan,560
2001,Latvia,708
2001,Lithuania,1533
2001,Luxembourg,73
2001,Maldives,3
2001,Malta,30
2001,Mauritius,113
2001,Mexico,3760
2001,Montenegro,0
2001,Netherlands,1474
2001,New Zealand,508
2001,Norway,549
2001,Panama,162
2001,Paraguay,152
2001,Philippines,1204
2001,Poland,5855
2001,Portugal,761
2001,Puerto Rico,289
2001,Qatar,23
2001,Republic of Korea,6911
2001,Romania,2720
2001,Russian Federation,56958
2001,Saint Lucia,7
2001,Saint Vincent and Grenadines,8
2001,Serbia,1442
2001,Seychelles,6
2001,Singapore,305
2001,Slovakia,692
2001,Slovenia,581
2001,South Africa,384
2001,Spain,3189
2001,Sri Lanka,4590
2001,Suriname,72
2001,Sweden,1197
2001,Switzerland,1338
2001,Trinidad and Tobago,179
2001,Turkmenistan,445
2001,Ukraine,13131
2001,United Kingdom,4128
2001,United States,30607
2001,Uruguay,499
2001,Uzbekistan,1914
2002,Albania,133
2002,Antigua and Barbuda,0
2002,Argentina,3162
2002,Armenia,74
2002,Aruba,9
2002,Australia,2319
2002,Austria,1553
2002,Azerbaijan,92
2002,Bahamas,3
2002,Bahrain,25
