year,country,suicides_no
2002,Barbados,0
2002,Belarus,3291
2002,Belgium,2076
2002,Belize,14
2002,Brazil,7697
2002,Bulgaria,1317
2002,Canada,3650
2002,Chile,1603
2002,Colombia,2379
2002,Costa Rica,275
2002,Croatia,874
2002,Cuba,1606
2002,Czech Republic,1534
2002,Denmark,688
2002,Ecuador,577
2002,El Salvador,436
2002,Estonia,371
2002,Fiji,42
2002,Finland,1095
2002,France,10643
2002,Germany,11176
2002,Greece,323
2002,Grenada,0
2002,Guatemala,258
2002,Guyana,176
2002,Hungary,2839
2002,Iceland,30
2002,Ireland,449
2002,Israel,382
2002,Italy,4069
2002,Jamaica,2
2002,Japan,29715
2002,Kazakhstan,4240
2002,Kuwait,45
2002,Kyrgyzstan,567
2002,Latvia,670
2002,Lithuania,1551
2002,Luxembourg,85
2002,Maldives,3
2002,Malta,19
2002,Mauritius,131
2002,Mexico,3826
2002,Montenegro,0
2002,Netherlands,1570
2002,New Zealand,467
2002,Norway,494
2002,Panama,160
2002,Paraguay,177
2002,Philippines,1301
2002,Poland,5925
2002,Portugal,1210
2002,Puerto Rico,239
2002,Republic of Korea,8611
2002,Romania,3067
2002,Russian Federation,55024
2002,Saint Lucia,12
2002,Saint Vincent and Grenadines,7
2002,Serbia,1446
2002,Seychelles,5
2002,Singapore,321
2002,Slovakia,717
2002,Slovenia,540
2002,South Africa,236
2002,Spain,3372
2002,Sri Lanka,4382
2002,Suriname,69
2002,Sweden,1180
2002,Switzerland,1446
2002,Thailand,4902
2002,Trinidad and Tobago,156
2002,Turkmenistan,416
2002,Ukraine,12536
2002,United Kingdom,4117
2002,United States,31645
2002,Uruguay,675
2002,Uzbekistan,1576
2003,Albania,124
2003,Antigua and Barbuda,1
2003,Argentina,3289
2003,Armenia,59
2003,Aruba,2
2003,Australia,2156
2003,Austria,1456
2003,Azerbaijan,129
2003,Bahamas,1
2003,Bahrain,34
2003,Barbados,0
2003,Belarus,3456
2003,Belgium,2091
2003,Belize,12
2003,Brazil,7839
2003,Bulgaria,1092
2003,Canada,3765
2003,Chile,1654
2003,Colombia,2269
2003,Costa Rica,315
2003,Croatia,865
2003,Cuba,1499
2003,Czech Republic,1719
2003,Denmark,633
2003,Ecuador,675
2003,El Salvador,527
2003,Estonia,342
2003,Fiji,10
2003,Finland,1075
2003,France,10871
2003,Germany,11155
2003,Greece,375
2003,Grenada,4
2003,Guatemala,253
2003,Guyana,198
2003,Hungary,2800
2003,Iceland,26
2003,Ireland,454
2003,Israel,417
2003,Italy,4075
2003,Jamaica,2
2003,Japan,31881
2003,Kazakhstan,4321
2003,Kuwait,44
2003,Kyrgyzstan,479
2003,Latvia,604
2003,Lithuania,1455
2003,Luxembourg,48
2003,Maldives,4
2003,Malta,20
2003,Mauritius,88
2003,Mexico,4070
2003,Montenegro,0
2003,Netherlands,1502
2003,New Zealand,519
2003,Norway,502
2003,Panama,195
2003,Paraguay,174
2003,Philippines,1544
2003,Poland,5836
2003,Portugal,1156
2003,Puerto Rico,262
2003,Republic of Korea,10898
2003,Romania,2894
2003,Russian Federation,51445
2003,Saint Lucia,10
2003,Saint Vincent and Grenadines,4
2003,Serbia,1378
2003,Seychelles,8
2003,Singapore,320
2003,Slovakia,753
2003,Slovenia,562
2003,South Africa,256
2003,Spain,3478
2003,Sri Lanka,4467
2003,Suriname,77
2003,Sweden,1112
2003,Switzerland,1269
2003,Thailand,4484
2003,Trinidad and Tobago,144
2003,Turkmenistan,377
2003,Ukraine,12313
2003,United Kingdom,3979
2003,United States,31477
2003,Uruguay,535
2003,Uzbekistan,1416
2004,Albania,146
2004,Antigua and Barbuda,2
2004,Argentina,3121
2004,Aruba,8
2004,Australia,2114
2004,Austria,1422
2004,Azerbaijan,108
2004,Bahamas,2
2004,Bahrain,42
2004,Barbados,3
2004,Belgium,1987
2004,Belize,20
2004,Brazil,7995
2004,Bulgaria,1013
2004,Canada,3613
2004,Chile,1735
2004,Colombia,2244
2004,Costa Rica,325
2004,Croatia,871
2004,Cuba,1515
2004,Cyprus,7
2004,Czech Republic,1583
2004,Denmark,661
2004,Ecuador,791
2004,El Salvador,464
2004,Estonia,323
2004,Fiji,24
2004,Finland,1064
2004,France,10804
2004,Georgia,175
2004,Germany,10741
2004,Greece,353
2004,Grenada,1
2004,Guatemala,250
2004,Guyana,186
2004,Hungary,2742
2004,Iceland,35
2004,Ireland,464
2004,Israel,411
2004,Italy,3986
2004,Jamaica,1
2004,Japan,30034
2004,Kazakhstan,4394
2004,Kuwait,45
2004,Kyrgyzstan,438
2004,Latvia,563
2004,Lithuania,1380
2004,Luxembourg,62
2004,Maldives,1
2004,Malta,24
2004,Mauritius,97
2004,Mexico,4056
2004,Montenegro,0
2004,Netherlands,1514
2004,New Zealand,495
2004,Norway,529
2004,Panama,186
2004,Paraguay,234
2004,Poland,6072
2004,Puerto Rico,279
2004,Qatar,21
2004,Republic of Korea,11492
2004,Romania,2720
2004,Russian Federation,49096
2004,Saint Lucia,8
2004,Saint Vincent and Grenadines,4
2004,Serbia,1345
2004,Seychelles,6
2004,Singapore,335
2004,Slovakia,676
2004,Slovenia,512
2004,South Africa,383
2004,Spain,3508
2004,Suriname,67
2004,Sweden,1155
2004,Switzerland,1284
2004,Thailand,4296
2004,Trinidad and Tobago,168
2004,Turkmenistan,392
2004,Ukraine,11256
2004,United Kingdom,4183
2004,United States,32428
2004,Uruguay,520
2004,Uzbekistan,1251
2005,Albania,0
2005,Antigua and Barbuda,0
2005,Argentina,3058
2005,Aruba,10
2005,Austria,1399
2005,Bahamas,4
2005,Bahrain,42
2005,Barbados,1
2005,Belgium,2029
2005,Belize,12
2005,Brazil,8529
2005,Bulgaria,982
2005,Canada,3743
2005,Chile,1682
2005,Colombia,2102
2005,Costa Rica,272
2005,Croatia,874
2005,Cuba,1397
2005,Cyprus,17
2005,Czech Republic,1565
2005,Denmark,631
2005,Ecuador,943
2005,El Salvador,455
2005,Estonia,273
2005,Fiji,22
2005,Finland,994
2005,France,10713
2005,Georgia,87
2005,Germany,10270
2005,Greece,400
2005,Grenada,6
2005,Guatemala,238
2005,Guyana,169
2005,Hungary,2619
2005,Iceland,33
2005,Ireland,451
2005,Israel,425
2005,Italy,3742
2005,Jamaica,51
2005,Japan,30369
2005,Kazakhstan,3903
2005,Kuwait,52
2005,Kyrgyzstan,470
2005,Latvia,564
2005,Lithuania,1319
2005,Luxembourg,49
2005,Maldives,1
2005,Malta,19
2005,Mauritius,102
2005,Mexico,4274
2005,Montenegro,118
2005,Netherlands,1574
2005,New Zealand,514
2005,Norway,533
2005,Panama,172
2005,Paraguay,239
2005,Poland,6045
2005,Puerto Rico,289
2005,Qatar,17
2005,Republic of Korea,12011
2005,Romania,2603
2005,Russian Federation,45802
2005,Saint Lucia,4
2005,Saint Vincent and Grenadines,8
2005,San Marino,1
2005,Serbia,1437
2005,Seychelles,5
2005,Singapore,359
2005,Slovakia,679
2005,Slovenia,503
2005,South Africa,458
2005,Spain,3399
2005,Suriname,72
2005,Sweden,1219
2005,Switzerland,1299
2005,Thailand,3937
2005,Trinidad and Tobago,136
2005,Turkmenistan,468
2005,Ukraine,10621
2005,United Arab Emirates,96
2005,United Kingdom,4047
2005,United States,32629
2005,Uruguay,498
2005,Uzbekistan,1221
2006,Albania,0
2006,Antigua and Barbuda,0
2006,Argentina,3108
2006,Armenia,78
2006,Aruba,9
2006,Australia,2117
2006,Austria,1297
2006,Bahamas,2
2006,Bahrain,28
2006,Barbados,9
2006,Belgium,1935
2006,Belize,11
2006,Brazil,8618
2006,Bulgaria,977
2006,Canada,3512
2006,Chile,1795
2006,Colombia,2177
2006,Costa Rica,350
2006,Croatia,796
2006,Cuba,1376
2006,Cyprus,19
2006,Czech Republic,1400
2006,Denmark,650
2006,Ecuador,900
2006,El Salvador,411
2006,Estonia,247
2006,Fiji,24
2006,Finland,1062
2006,France,10423
2006,Georgia,72
2006,Germany,9775
2006,Greece,394
2006,Grenada,1
2006,Guatemala,298
2006,Guyana,201
2006,Hungary,2461
2006,Iceland,32
2006,Ireland,452
2006,Israel,367
2006,Italy,3700
2006,Jamaica,0
2006,Japan,29769
2006,Kazakhstan,4076
2006,Kuwait,45
2006,Kyrgyzstan,463
2006,Latvia,487
2006,Lithuania,1049
2006,Luxembourg,65
2006,Malta,26
2006,Mauritius,118
2006,Mexico,4230
2006,Montenegro,0
2006,Netherlands,1525
2006,New Zealand,527
2006,Norway,532
2006,Panama,185
2006,Paraguay,251
2006,Philippines,1788
2006,Poland,5805
2006,Puerto Rico,265
2006,Qatar,29
2006,Republic of Korea,10653
2006,Romania,2721
2006,Russian Federation,42614
2006,Saint Lucia,2
2006,Saint Vincent and Grenadines,6
2006,Serbia,1443
2006,Seychelles,8
2006,Singapore,372
2006,Slovakia,0
2006,Slovenia,529
2006,South Africa,514
2006,Spain,3247
2006,Sri Lanka,4015
2006,Suriname,112
2006,Sweden,1197
2006,Switzerland,1309
2006,Thailand,3608
2006,Trinidad and Tobago,141
2006,Turkmenistan,506
2006,Ukraine,10013
2006,United Arab Emirates,90
2006,United Kingdom,4122
2006,United States,33292
2006,Uruguay,528
2007,Albania,124
2007,Antigua and Barbuda,1
2007,Argentina,2946
2007,Armenia,71
2007,Aruba,8
2007,Australia,2229
2007,Austria,1285
2007,Azerbaijan,55
2007,Bahamas,5
2007,Bahrain,40
2007,Barbados,0
2007,Belarus,2659
2007,Belgium,1857
2007,Belize,8
2007,Brazil,8855
2007,Bulgaria,902
2007,Canada,3611
2007,Chile,1848
2007,Colombia,2181
2007,Costa Rica,270
2007,Croatia,775
2007,Cuba,1307
2007,Cyprus,19
2007,Czech Republic,1379
2007,Denmark,581
2007,Ecuador,1005
2007,El Salvador,501
2007,Estonia,251
2007,Fiji,13
2007,Finland,995
2007,France,10127
2007,Georgia,104
2007,Germany,9409
2007,Greece,328
2007,Grenada,3
2007,Guatemala,327
2007,Guyana,185
2007,Hungary,2450
2007,Iceland,37
2007,Ireland,458
2007,Israel,326
2007,Italy,3757
2007,Japan,30665
2007,Kazakhstan,4141
2007,Kuwait,51
2007,Kyrgyzstan,482
2007,Latvia,453
2007,Lithuania,1025
2007,Luxembourg,78
2007,Maldives,5
2007,Malta,26
2007,Mauritius,127
2007,Mexico,4285
2007,Montenegro,121
2007,Netherlands,1354
2007,New Zealand,494
2007,Norway,485
2007,Panama,171
2007,Paraguay,227
2007,Philippines,1698
2007,Poland,5284
2007,Portugal,1020
2007,Puerto Rico,271
2007,Qatar,41
2007,Republic of Korea,12174
2007,Romania,2430
2007,Russian Federation,41149
2007,Saint Vincent and Grenadines,11
2007,Serbia,1353
2007,Seychelles,6
2007,Singapore,328
2007,Slovakia,0
2007,Slovenia,434
2007,South Africa,417
2007,Spain,3264
2007,Suriname,119
2007,Sweden,1126
2007,Switzerland,1360
2007,Thailand,3754
2007,Trinidad and Tobago,131
2007,Turkmenistan,354
2007,Ukraine,10032
2007,United Arab Emirates,101
2007,United Kingdom,3897
2007,United States,34596
2007,Uruguay,576
2008,Albania,160
2008,Antigua and Barbuda,0
2008,Argentina,3059
2008,Armenia,63
2008,Aruba,4
2008,Australia,2341
2008,Austria,1267
2008,Bahamas,4
2008,Bahrain,43
2008,Barbados,1
2008,Belarus,2658
2008,Belgium,1999
2008,Belize,11
2008,Brazil,9184
2008,Bulgaria,939
2008,Canada,3705
2008,Chile,2088
2008,Colombia,2220
2008,Costa Rica,261
2008,Croatia,793
2008,Cuba,1377
2008,Cyprus,41
2008,Czech Republic,1379
2008,Denmark,603
2008,Ecuador,928
2008,El Salvador,490
2008,Estonia,242
2008,Fiji,37
2008,Finland,1033
2008,France,10353
2008,Germany,9459
2008,Greece,373
2008,Grenada,0
2008,Guatemala,492
2008,Guyana,168
2008,Hungary,2476
2008,Iceland,38
2008,Ireland,506
2008,Israel,354
2008,Italy,3904
2008,Japan,30073
2008,Kazakhstan,3997
2008,Kuwait,47
2008,Kyrgyzstan,473
2008,Latvia,527
2008,Lithuania,1111
2008,Luxembourg,43
2008,Maldives,0
2008,Malta,14
2008,Mauritius,84
2008,Mexico,4642
2008,Montenegro,126
2008,Netherlands,1439
2008,New Zealand,520
2008,Norway,505
2008,Panama,186
2008,Paraguay,222
2008,Philippines,1820
2008,Poland,5682
2008,Portugal,1038
2008,Puerto Rico,300
2008,Qatar,33
2008,Republic of Korea,12858
2008,Romania,2472
2008,Russian Federation,38211
2008,Saint Lucia,0
2008,Saint Vincent and Grenadines,4
2008,Serbia,1289
2008,Seychelles,4
2008,Singapore,319
2008,Slovakia,591
2008,Slovenia,408
2008,South Africa,441
2008,Spain,3457
2008,Suriname,147
2008,Sweden,1170
2008,Switzerland,1314
2008,Thailand,3778
2008,Trinidad and Tobago,199
2008,Turkmenistan,484
2008,Ukraine,9454
2008,United Arab Emirates,100
2008,United Kingdom,4259
2008,United States,36030
2008,Uruguay,523
2009,Albania,0
2009,Antigua and Barbuda,0
2009,Argentina,2884
2009,Armenia,53
2009,Aruba,4
2009,Australia,2337
2009,Austria,1278
2009,Bahamas,6
2009,Bahrain,36
2009,Barbados,5
2009,Belarus,2743
2009,Belgium,2013
2009,Belize,15
2009,Brazil,9346
2009,Bulgaria,868
2009,Canada,3890
2009,Chile,2148
2009,Colombia,2249
2009,Costa Rica,278
2009,Croatia,790
2009,Cuba,1477
2009,Cyprus,32
2009,Czech Republic,1464
2009,Denmark,622
2009,Ecuador,964
2009,El Salvador,506
2009,Estonia,269
2009,Fiji,26
2009,Finland,1034
2009,France,10499
2009,Georgia,188
2009,Germany,9579
2009,Greece,391
2009,Grenada,0
2009,Guatemala,511
2009,Guyana,156
2009,Hungary,2460
2009,Iceland,36
2009,Ireland,527
2009,Israel,404
2009,Italy,3974
2009,Jamaica,36
2009,Japan,30523
2009,Kazakhstan,3838
2009,Kuwait,61
2009,Kyrgyzstan,458
2009,Latvia,516
2009,Lithuania,1138
2009,Luxembourg,48
2009,Malta,36
2009,Mauritius,115
2009,Mexico,5023
2009,Montenegro,107
2009,Netherlands,1530
2009,New Zealand,512
2009,Norway,573
2009,Oman,13
2009,Panama,177
2009,Paraguay,283
2009,Philippines,2074
2009,Poland,6477
2009,Portugal,1025
2009,Puerto Rico,330
2009,Qatar,44
2009,Republic of Korea,15402
2009,Romania,2586
2009,Russian Federation,37408
2009,Saint Lucia,13
2009,Saint Vincent and Grenadines,1
2009,Serbia,1373
2009,Seychelles,4
2009,Singapore,349
2009,Slovakia,601
2009,Slovenia,447
2009,South Africa,372
2009,Spain,3429
2009,Suriname,131
2009,Sweden,1242
2009,Switzerland,1105
2009,Thailand,3787
2009,Trinidad and Tobago,128
2009,Turkey,1050
2009,Turkmenistan,165
2009,Ukraine,9715
2009,United Arab Emirates,124
2009,United Kingdom,4246
2009,United States,36900
2009,Uruguay,511
2009,Uzbekistan,1399
2010,Albania,96
2010,Argentina,2943
2010,Armenia,73
2010,Aruba,7
2010,Australia,2420
2010,Austria,1264
2010,Bahamas,10
2010,Bahrain,19
2010,Barbados,3
2010,Belarus,2459
2010,Belgium,2013
2010,Belize,15
2010,Brazil,9429
2010,Bulgaria,859
2010,Canada,3951
2010,Chile,2001
2010,Colombia,2107
2010,Costa Rica,311
2010,Croatia,776
2010,Cuba,1558
2010,Cyprus,38
2010,Czech Republic,1502
2010,Denmark,563
2010,Ecuador,912
2010,El Salvador,399
2010,Estonia,223
2010,Finland,954
2010,France,10379
2010,Georgia,112
2010,Germany,10030
2010,Greece,377
2010,Grenada,0
2010,Guatemala,352
2010,Guyana,205
2010,Hungary,2489
2010,Iceland,46
2010,Ireland,486
2010,Israel,480
2010,Italy,3989
2010,Jamaica,3
2010,Japan,29411
2010,Kazakhstan,3609
2010,Kuwait,39
2010,Kyrgyzstan,500
2010,Latvia,438
2010,Lithuania,1018
2010,Luxembourg,54
2010,Maldives,1
2010,Malta,31
2010,Mauritius,98
2010,Mexico,4858
2010,Netherlands,1604
2010,New Zealand,536
2010,Nicaragua,351
2010,Norway,548
2010,Oman,13
2010,Panama,151
2010,Paraguay,223
2010,Philippines,2116
2010,Poland,6357
2010,Portugal,1099
2010,Puerto Rico,286
2010,Qatar,47
2010,Republic of Korea,15558
2010,Romania,2766
2010,Russian Federation,33356
2010,Saint Lucia,4
2010,Saint Vincent and Grenadines,5
2010,Serbia,1207
2010,Seychelles,6
2010,Singapore,296
2010,Slovakia,631
2010,Slovenia,414
2010,South Africa,393
2010,Spain,3158
2010,Suriname,136
2010,Sweden,1141
2010,Switzerland,1006
2010,Thailand,3761
2010,Trinidad and Tobago,160
2010,Turkey,1524
2010,Turkmenistan,178
2010,Ukraine,9089
2010,United Arab Emirates,111
2010,United Kingdom,4188
2010,United States,38362
2010,Uruguay,547
2010,Uzbekistan,1464
2011,Argentina,2912
2011,Armenia,67
2011,Aruba,9
2011,Australia,2392
2011,Austria,1288
2011,Bahamas,4
2011,Bahrain,18
2011,Barbados,0
2011,Belarus,2172
2011,Belgium,2088
2011,Belize,33
2011,Bosnia and Herzegovina,5
2011,Brazil,9822
2011,Bulgaria,763
2011,Cabo Verde,42
2011,Canada,3728
2011,Chile,2027
2011,Colombia,2044
2011,Costa Rica,316
2011,Croatia,702
2011,Cuba,1529
2011,Cyprus,30
2011,Czech Republic,1590
2011,Denmark,589
2011,Ecuador,918
2011,El Salvador,485
2011,Estonia,218
2011,Fiji,38
2011,Finland,912
2011,France,10408
2011,Georgia,99
2011,Germany,10153
2011,Greece,477
2011,Grenada,1
2011,Guatemala,359
2011,Guyana,192
2011,Hungary,2420
2011,Iceland,27
2011,Ireland,554
2011,Israel,409
2011,Italy,4153
2011,Jamaica,50
2011,Japan,28766
2011,Kazakhstan,3401
2011,Kuwait,41
2011,Kyrgyzstan,471
2011,Latvia,440
2011,Lithuania,1018
2011,Luxembourg,55
2011,Maldives,2
2011,Malta,20
2011,Mauritius,118
2011,Mexico,5558
2011,Netherlands,1650
2011,New Zealand,493
2011,Nicaragua,369
2011,Norway,598
2011,Panama,144
2011,Paraguay,298
2011,Philippines,2449
2011,Poland,6113
2011,Portugal,1017
2011,Puerto Rico,258
2011,Qatar,50
2011,Republic of Korea,15906
2011,Romania,2536
2011,Russian Federation,31038
2011,Saint Lucia,8
2011,Saint Vincent and Grenadines,5
2011,Serbia,1256
2011,Seychelles,5
2011,Singapore,308
2011,Slovenia,435
2011,South Africa,358
2011,Spain,3180
2011,Suriname,127
2011,Sweden,1112
2011,Switzerland,1034
2011,Thailand,3873
2011,Trinidad and Tobago,139
2011,Turkey,1148
2011,Turkmenistan,130
2011,Ukraine,8973
2011,United Kingdom,4393
2011,United States,39508
2011,Uzbekistan,1640
2012,Antigua and Barbuda,0
2012,Argentina,3248
2012,Armenia,79
2012,Australia,2580
2012,Austria,1276
2012,Bahamas,5
2012,Bahrain,19
2012,Barbados,0
2012,Belgium,2026
2012,Belize,18
2012,Brazil,10295
2012,Bulgaria,872
2012,Canada,3926
2012,Chile,1841
2012,Colombia,2119
2012,Costa Rica,302
2012,Croatia,776
2012,Cuba,1495
2012,Cyprus,36
2012,Czech Republic,1658
2012,Denmark,661
2012,Ecuador,976
2012,El Salvador,512
2012,Estonia,237
2012,Fiji,32
2012,Finland,873
2012,France,9743
2012,Georgia,104
2012,Germany,9896
2012,Greece,508
2012,Grenada,2
2012,Guatemala,420
2012,Guyana,206
2012,Hungary,2349
2012,Iceland,37
2012,Ireland,542
2012,Israel,430
2012,Italy,4257
2012,Japan,26338
2012,Kazakhstan,3240
2012,Kuwait,56
2012,Kyrgyzstan,524
2012,Latvia,444
2012,Lithuania,927
2012,Luxembourg,51
2012,Malta,25
2012,Mauritius,115
2012,Mexico,5381
2012,Netherlands,1756
2012,New Zealand,549
2012,Nicaragua,316
2012,Norway,515
2012,Panama,135
2012,Paraguay,275
2012,Poland,6368
2012,Portugal,1076
2012,Puerto Rico,248
2012,Qatar,43
2012,Republic of Korea,14159
2012,Romania,2495
2012,Russian Federation,29643
2012,Saint Lucia,10
2012,Saint Vincent and Grenadines,10
2012,Serbia,1243
2012,Seychelles,3
2012,Singapore,392
2012,Slovakia,571
2012,Slovenia,440
2012,South Africa,487
2012,Spain,3539
2012,Suriname,133
2012,Sweden,1154
2012,Switzerland,1038
2012,Thailand,3985
2012,Turkey,1450
2012,Turkmenistan,138
2012,Ukraine,9058
2012,United Kingdom,4444
2012,United States,40596
2012,Uruguay,599
2012,Uzbekistan,1835
2013,Antigua and Barbuda,0
2013,Argentina,2987
2013,Armenia,67
2013,Australia,2608
2013,Austria,1291
2013,Bahamas,5
2013,Bahrain,5
2013,Barbados,0
2013,Belarus,1902
2013,Belgium,1895
2013,Belize,17
2013,Brazil,10513
2013,Bulgaria,721
2013,Canada,4054
2013,Chile,1738
2013,Colombia,2068
2013,Costa Rica,311
2013,Croatia,692
2013,Cuba,1499
2013,Cyprus,45
2013,Czech Republic,1577
2013,Denmark,610
2013,Ecuador,676
2013,El Salvador,484
2013,Estonia,218
2013,Finland,887
2013,France,9600
2013,Georgia,157
2013,Germany,10091
2013,Greece,533
2013,Grenada,0
2013,Guatemala,455
2013,Guyana,210
2013,Hungary,2092
2013,Iceland,49
2013,Ireland,487
2013,Israel,372
2013,Italy,4290
2013,Japan,25991
2013,Kazakhstan,3512
2013,Kuwait,41
2013,Kyrgyzstan,446
2013,Latvia,383
2013,Lithuania,1085
2013,Luxembourg,40
2013,Malta,22
2013,Mauritius,98
2013,Mexico,5711
2013,Netherlands,1856
2013,New Zealand,513
2013,Nicaragua,351
2013,Norway,554
2013,Panama,130
2013,Paraguay,323
2013,Poland,6218
2013,Portugal,1052
2013,Puerto Rico,241
2013,Qatar,37
2013,Republic of Korea,14426
2013,Romania,2407
2013,Russian Federation,28690
2013,Saint Lucia,14
2013,Saint Vincent and Grenadines,0
2013,Serbia,1197
2013,Seychelles,9
2013,Singapore,357
2013,Slovakia,616
2013,Slovenia,446
2013,South Africa,587
2013,Spain,3873
2013,Suriname,131
2013,Sweden,1230
2013,Switzerland,1071
2013,Thailand,3961
2013,Turkey,1810
2013,Turkmenistan,101
2013,United Kingdom,4824
2013,United States,41143
2013,Uruguay,546
2013,Uzbekistan,1950
2014,Antigua and Barbuda,0
2014,Argentina,3231
2014,Armenia,58
2014,Australia,2891
2014,Austria,1314
2014,Bahrain,9
2014,Belarus,1741
2014,Belgium,1899
2014,Belize,24
2014,Bosnia and Herzegovina,313
2014,Brazil,10631
2014,Bulgaria,724
2014,Chile,1789
2014,Colombia,2126
2014,Costa Rica,268
2014,Croatia,722
2014,Cuba,1453
2014,Cyprus,44
2014,Czech Republic,1489
2014,Denmark,629
2014,Ecuador,734
2014,El Salvador,386
2014,Estonia,241
2014,Finland,789
2014,France,8881
2014,Georgia,194
2014,Germany,10217
2014,Greece,565
2014,Grenada,0
2014,Guatemala,512
2014,Hungary,1925
2014,Iceland,44
2014,Ireland,486
2014,Israel,382
2014,Italy,4147
2014,Japan,24357
2014,Kazakhstan,3119
2014,Kuwait,68
2014,Kyrgyzstan,461
2014,Latvia,382
2014,Lithuania,930
2014,Luxembourg,67
2014,Malta,32
2014,Mauritius,120
2014,Mexico,6178
2014,Netherlands,1839
2014,Nicaragua,311
2014,Norway,548
2014,Oman,7
2014,Panama,147
2014,Paraguay,379
2014,Poland,5934
2014,Portugal,1222
2014,Puerto Rico,220
2014,Qatar,55
2014,Republic of Korea,13834
2014,Romania,2209
2014,Russian Federation,26541
2014,Saint Lucia,14
2014,Saint Vincent and Grenadines,2
2014,Serbia,1134
2014,Seychelles,4
2014,Singapore,355
2014,Slovakia,554
2014,Slovenia,388
2014,South Africa,580
2014,Spain,3911
2014,Suriname,128
2014,Sweden,1148
2014,Switzerland,1032
2014,Thailand,3952
2014,Turkey,1617
2014,Turkmenistan,136
2014,Ukraine,7968
2014,United Kingdom,4788
2014,United States,42769
2014,Uruguay,591
2014,Uzbekistan,2095
2015,Antigua and Barbuda,1
2015,Argentina,3073
2015,Armenia,74
2015,Australia,3027
2015,Austria,1251
2015,Belgium,1867
2015,Belize,26
2015,Brazil,11163
2015,Chile,1838
2015,Colombia,2332
2015,Croatia,739
2015,Cuba,1511
2015,Cyprus,40
2015,Czech Republic,1387
2015,Denmark,564
2015,Ecuador,1073
2015,Estonia,195
2015,Finland,731
2015,Georgia,192
2015,Germany,10088
2015,Greece,529
2015,Grenada,0
2015,Guatemala,494
2015,Hungary,1868
2015,Iceland,40
2015,Israel,342
2015,Italy,3988
2015,Japan,23092
2015,Kazakhstan,2872
2015,Kyrgyzstan,417
2015,Latvia,387
2015,Lithuania,896
2015,Luxembourg,64
2015,Malta,34
2015,Mauritius,104
2015,Mexico,6234
2015,Netherlands,1873
2015,Nicaragua,315
2015,Norway,590
2015,Panama,110
2015,Poland,5420
2015,Puerto Rico,226
2015,Qatar,66
2015,Republic of Korea,13510
2015,Romania,2228
2015,Russian Federation,25432
2015,Saint Vincent and Grenadines,3
2015,Serbia,1062
2015,Seychelles,7
2015,Singapore,329
2015,Slovenia,422
2015,South Africa,482
2015,Spain,3604
2015,Sweden,1182
2015,Switzerland,1073
2015,Thailand,4205
2015,Turkey,1532
2015,Turkmenistan,133
2015,Ukraine,7574
2015,United Kingdom,4910
2015,United States,44189
2015,Uruguay,630
2016,Armenia,67
2016,Austria,1201
2016,Croatia,683
2016,Cyprus,36
2016,Czech Republic,1318
2016,Grenada,0
2016,Hungary,1761
2016,Iceland,40
2016,Lithuania,822
2016,Mauritius,98
2016,Mongolia,423
2016,Netherlands,1886
2016,Qatar,68
2016,Romania,1953
2016,Sweden,1130
2016,Thailand,4117
